session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,192,576,133,3,133,133,3,133,203,133,0031
1,421,193,677,254,133,31,393,3403,217,55,0031
2,55,3,55,55,5,293,421,333,899,55,0031
3,473,3570,473,55,55,55,55,946,200,123,0031
4,343,55,5,3399,258,212,3498,2095,674,2095,0031
5,227,674,212,212,55,55,128,174,3452,3339,0031
6,350,576,133,3,133,31,133,393,192,133,0031
7,262,3563,1569,393,55,3,55,3,200,123,0031
8,55,333,106,203,1250,513,55,809,106,5,0031
9,1011,350,3430,350,3427,538,604,604,538,606,0031
10,606,174,174,463,2,2,6,3,2,2598,0031
11,2598,3636,3613,2114,161,161,117,90,2,90,0031
12,108,564,608,18,44,108,384,17,90,2129,0031
13,90,736,5,102,22,1253,1253,90,564,31,0031
14,20,31,20,90,5,117,6,3,2,2,0031
15,54,2,62,86,54,86,62,54,62,142,0031
16,54,62,54,142,61,61,61,61,367,311,0031
17,311,367,311,1075,367,1374,1374,1075,311,367,0031
18,98,98,311,367,2601,311,1255,1159,1255,311,0031
19,2601,1159,1255,1255,311,367,311,367,1159,311,0031
20,367,367,1374,3,311,367,2,1374,465,1798,0031
21,367,311,3,861,311,2,465,577,861,367,0031
22,311,861,311,577,1075,367,861,311,577,1793,0031
23,2135,367,311,465,861,861,311,465,577,465,0031
24,577,311,577,2130,811,577,311,577,861,465,0031
25,577,367,311,465,577,465,311,465,577,577,0031
26,861,465,465,465,193,465,677,465,343,128,0031
27,465,465,465,577,465,293,577,1376,43,463,0031
28,2,2,3,6,2,1815,245,1815,589,1784,0031
29,128,203,1376,211,5,589,1815,513,1561,589,0031
30,1815,2607,170,170,2,3,6,1810,2,3,0031
31,1810,106,1810,1810,367,311,311,367,1374,311,0031
32,1389,1075,311,465,1798,367,1255,311,1159,1159,0031
33,1255,311,367,465,465,311,311,367,311,1075,0031
34,367,311,465,311,1793,465,2135,465,367,465,0031
35,465,311,465,2130,577,465,465,465,87,5,0031
36,465,87,576,133,3,133,31,3,133,133,0031
37,393,3528,939,939,55,3,55,3,55,106,0031
38,1571,173,3407,3438,55,3,55,200,123,55,0031
39,55,3381,3552,258,863,258,350,350,863,768,0031
40,3,55,55,193,55,3547,212,3533,212,258,0031
41,258,3328,768,227,227,538,538,55,55,3,0031
42,55,55,3,421,106,1816,3378,3441,1243,55,0031
43,3,55,55,55,3421,3590,601,601,227,55,0031
44,55,855,3,421,473,473,3515,55,55,3,0031
45,55,55,421,55,55,3576,3,55,200,123,0031
46,31,737,3400,251,2591,3567,897,55,3,55,0031
47,193,311,367,367,311,1075,367,1798,900,900,0031
48,900,311,311,1075,367,311,1793,2135,900,900,0031
49,900,900,900,577,367,2130,900,577,311,55,0031
50,577,900,900,576,133,3,133,200,123,31,0031
51,1244,133,1550,3556,393,133,1244,133,3415,55,0031
52,3,55,393,55,55,3474,562,562,3588,603,0031
53,366,258,258,601,601,200,55,123,421,106,0031
54,203,343,174,1011,333,1250,106,513,809,3516,0031
55,3599,212,212,212,415,415,1386,739,1386,739,0031
56,855,55,133,419,576,3,133,133,200,123,0031
57,31,133,3440,217,217,1080,393,3,55,200,0031
58,123,55,293,898,2103,394,3462,859,3571,674,0031
59,674,366,366,394,366,394,394,394,394,55,0031
60,55,200,123,5,677,193,128,3522,3446,538,0031
