User 0006, CV score: 0.9960795612888451
User 0013, CV score: 0.996392603416394
User 0015, CV score: 0.99526648227745
User 0016, CV score: 0.9919507613560473
User 0028, CV score: 0.9901787659762019
User 0031, CV score: 0.9942968989054074
User 0033, CV score: 0.9936505040113687
User 0039, CV score: 0.9858620830655959
User 0046, CV score: 0.997987857444965
User 0049, CV score: 0.9952773284622092
User 0050, CV score: 0.9944638280683459
User 0053, CV score: 0.9935982902101794
User 0065, CV score: 0.9968513700582928
User 0066, CV score: 0.994765980924795
User 0082, CV score: 0.9964030122764157
User 0085, CV score: 0.9962987207688639
User 0089, CV score: 0.9905225842610896
User 0092, CV score: 0.9942033320079174
User 0100, CV score: 0.9945575257465724
User 0102, CV score: 0.9913986089935877
User 0103, CV score: 0.9805449611891582
User 0105, CV score: 0.996934881144005
User 0106, CV score: 0.9946719103641056
User 0118, CV score: 0.990929076551474
User 0119, CV score: 0.9966116229096368
User 0120, CV score: 0.9943177074194115
User 0126, CV score: 0.9951209040120593
User 0127, CV score: 0.9916482666531555
User 0128, CV score: 0.9848404849077502
User 0138, CV score: 0.997007720386082
User 0158, CV score: 0.9969974146886792
User 0160, CV score: 0.9968720705696349
User 0165, CV score: 0.9973412654317274
User 0172, CV score: 0.9966844989758709
User 0177, CV score: 0.9969241710540722
User 0203, CV score: 0.9976019765493861
User 0207, CV score: 0.9875827746957441
User 0223, CV score: 0.996403036002584
User 0233, CV score: 0.996371635081395
User 0235, CV score: 0.9965490235005476
User 0236, CV score: 0.990189063415659
User 0237, CV score: 0.989250607353012
User 0238, CV score: 0.9961110886247745
User 0240, CV score: 0.9957045217379825
User 0241, CV score: 0.9958295307468145
User 0242, CV score: 0.9951932676831011
User 0245, CV score: 0.996090138701854
User 0246, CV score: 0.9969555913354332
User 0249, CV score: 0.9951206361884025
User 0252, CV score: 0.9964133034536893
User 0254, CV score: 0.9918676769668929
User 0256, CV score: 0.9959444146615509
User 0258, CV score: 0.9958608139852553
User 0259, CV score: 0.9947767287869783
User 0260, CV score: 0.9974561963247538
User 0261, CV score: 0.9898973640272873
User 0263, CV score: 0.99261810038487
User 0264, CV score: 0.9964446762827136
User 0269, CV score: 0.986852743249346
User 0270, CV score: 0.9893548882323842
User 0273, CV score: 0.9943281259595192
User 0287, CV score: 0.9901470928653602
User 0294, CV score: 0.995714849739413
User 0298, CV score: 0.9911688372721651
User 0301, CV score: 0.9971222880767314
User 0308, CV score: 0.9956836560915557
User 0315, CV score: 0.9974871589731115
User 0318, CV score: 0.9958189853179195
User 0327, CV score: 0.996423886654835
User 0332, CV score: 0.9966636245974515
User 0333, CV score: 0.9962572223716974
User 0339, CV score: 0.99707001856526
User 0340, CV score: 0.9965698416946377
User 0342, CV score: 0.9920865037069335
User 0344, CV score: 0.9966427792592905
User 0351, CV score: 0.992221998068382
User 0356, CV score: 0.9977166207326303
User 0361, CV score: 0.9963402438402923
User 0363, CV score: 0.9964031628913711
User 0411, CV score: 0.9912421608172695
User 0417, CV score: 0.9967366706388129
User 0425, CV score: 0.9941614287441741
User 0430, CV score: 0.9962984292190389
User 0435, CV score: 0.9968930577907592
User 0436, CV score: 0.9951517964300057
User 0440, CV score: 0.9969035751274896
User 0444, CV score: 0.9979148268718262
User 0475, CV score: 0.9890841024168227
User 0476, CV score: 0.9969660616938737
User 0486, CV score: 0.9953812194691802
User 0515, CV score: 0.9940258302720132
User 0533, CV score: 0.9937860308309777
User 0561, CV score: 0.9842876273968962
User 0563, CV score: 0.9967261392560003
User 0564, CV score: 0.9956629090759707
User 0568, CV score: 0.9916176580011355
User 0569, CV score: 0.9894490769498683
User 0570, CV score: 0.9983424565242434
User 0573, CV score: 0.9904912303181904
User 0575, CV score: 0.9905228709708714
User 0576, CV score: 0.9940570674802579
User 0580, CV score: 0.9866127316949361
User 0583, CV score: 0.9808677287587405
User 0584, CV score: 0.9811388521543233
User 0600, CV score: 0.9916278029294499
User 0603, CV score: 0.9956314427644134
User 0605, CV score: 0.9975810561407705
User 0640, CV score: 0.9972265326059934
User 0647, CV score: 0.9977894691807464
User 0653, CV score: 0.997320381847269
User 0664, CV score: 0.9951414955726459
User 0665, CV score: 0.9969765267382246
User 0677, CV score: 0.996642571985959
User 0692, CV score: 0.9970284252634203
User 0697, CV score: 0.99579793754647
User 0705, CV score: 0.9965803541913251
User 0722, CV score: 0.9947452101830416
User 0740, CV score: 0.9967262520987052
User 0741, CV score: 0.9967781598299403
User 0756, CV score: 0.9957354979583753
User 0780, CV score: 0.9964656208915441
User 0784, CV score: 0.9965281583281677
User 0785, CV score: 0.9968617842324043
User 0797, CV score: 0.9956525244161641
User 0812, CV score: 0.9947141390579753
User 0844, CV score: 0.9969451824754115
User 0859, CV score: 0.9983526774711057
User 0868, CV score: 0.99645529194202
User 0875, CV score: 0.9959132350597759
User 0932, CV score: 0.990637350493078
User 0996, CV score: 0.9933062391957042
User 1014, CV score: 0.9972994135122701
User 1040, CV score: 0.9969970427543098
User 1054, CV score: 0.996569841220591
User 1248, CV score: 0.9977585753406597
User 1267, CV score: 0.9973933194119219
User 1299, CV score: 0.9969138943969277
User 1371, CV score: 0.9934103989744255
User 1797, CV score: 0.9950372151673207
User 1798, CV score: 0.9965077081764974
User 1993, CV score: 0.9968202102907365
User 2118, CV score: 0.9977794071067853
User 2174, CV score: 0.9958190003120954
User 2191, CV score: 0.995276872725393
User 2250, CV score: 0.9973205227821386
User 2355, CV score: 0.9957875839226838
User 2408, CV score: 0.9935466798169061
User 2493, CV score: 0.9967157260299825
User 2625, CV score: 0.996059044798713
User 2902, CV score: 0.9970494216905835
